,0,OFFENCE,DAYS_SINCE
317,70,9,266.0
318,4,9,370.0
319,57,9,370.0
320,69,9,5.0
321,62,9,5.0
322,7,9,370.0
323,48,10,370.0
324,1,5,370.0
325,33,5,370.0
326,98,9,370.0
327,60,5,370.0
328,0,9,370.0
329,91,1,368.0
330,18,5,370.0
331,4,10,351.0
332,87,9,371.0
333,59,5,371.0
334,39,5,371.0
335,25,9,336.0
336,69,9,366.0
337,65,9,366.0
338,33,5,371.0
339,57,9,371.0
340,72,1,353.0
341,28,9,366.0
342,51,9,335.0
343,87,1,362.0
344,65,1,255.0
345,77,1,371.0
346,5,9,315.0
347,70,9,370.0
348,19,1,370.0
349,87,1,362.0
350,54,1,364.0
351,92,1,371.0
352,24,9,371.0
353,91,1,371.0
354,60,9,371.0
355,18,1,371.0
356,2,9,371.0
357,7,1,371.0
358,18,5,371.0
359,19,9,371.0
360,31,9,371.0
361,17,5,371.0
362,22,1,371.0
363,65,5,371.0
364,48,9,371.0
365,77,9,371.0
366,89,9,371.0
367,14,9,371.0
368,1,1,371.0
369,77,1,371.0
370,80,1,371.0
371,46,9,371.0
372,82,1,371.0
373,77,9,371.0
374,86,9,371.0
375,38,9,371.0
376,31,9,371.0
377,83,1,371.0
378,57,9,371.0
379,7,9,371.0
380,40,1,371.0
381,28,1,371.0
382,64,9,371.0
383,39,9,371.0
384,52,5,364.0
385,43,9,368.0
386,66,5,371.0
387,66,9,371.0
388,47,1,371.0
389,0,9,371.0
390,31,5,371.0
391,10,1,365.0
392,3,1,365.0
393,77,1,371.0
394,25,9,371.0
395,78,9,353.0
396,43,1,371.0
397,17,9,372.0
398,18,1,372.0
399,18,9,372.0
400,94,9,372.0
401,6,9,372.0
402,62,1,368.0
403,67,1,368.0
404,66,9,372.0
405,93,9,372.0
406,28,9,372.0
407,18,9,372.0
408,95,9,353.0
409,25,9,354.0
410,31,9,372.0
411,31,5,372.0
412,39,1,371.0
413,98,1,371.0
414,18,1,371.0
415,65,1,371.0
416,90,1,371.0
417,90,1,371.0
418,97,9,372.0
419,36,9,356.0
420,1,1,372.0
421,1,9,372.0
422,11,9,372.0
423,80,1,372.0
424,35,1,372.0
425,92,1,372.0
426,80,1,372.0
427,34,1,372.0
428,41,9,372.0
429,8,9,372.0
430,38,9,372.0
431,4,9,360.0
432,13,5,372.0
433,35,1,372.0
434,48,1,372.0
435,19,9,372.0
436,39,9,372.0
437,2,5,372.0
438,77,5,372.0
439,31,1,372.0
440,8,1,372.0
441,52,5,372.0
442,24,1,372.0
443,69,5,372.0
444,17,9,372.0
445,35,9,372.0
446,47,5,372.0
447,15,5,372.0
448,75,9,372.0
449,59,9,372.0
450,94,9,372.0
451,98,9,372.0
452,18,1,372.0
453,15,9,372.0
454,7,1,372.0
455,66,1,372.0
456,48,10,372.0
457,7,5,372.0
458,7,1,372.0
459,64,9,372.0
460,75,9,372.0
461,1,5,372.0
462,26,1,372.0
463,66,9,372.0
464,84,9,372.0
465,71,9,372.0
466,90,1,372.0
467,42,1,372.0
468,18,1,372.0
469,46,1,347.0
470,18,1,372.0
471,14,5,367.0
472,0,1,269.0
473,14,1,372.0
474,26,1,371.0
475,11,10,373.0
476,97,9,373.0
477,65,9,373.0
478,83,5,373.0
479,23,1,373.0
480,14,9,373.0
481,44,9,373.0
482,50,9,373.0
483,28,9,373.0
484,11,1,373.0
485,52,9,373.0
486,22,9,371.0
487,25,1,369.0
488,40,9,373.0
489,40,1,373.0
490,74,1,373.0
491,35,5,373.0
492,65,5,373.0
493,43,9,373.0
494,4,5,369.0
495,91,9,373.0
496,73,9,373.0
497,18,9,369.0
498,33,9,373.0
499,99,5,373.0
500,35,9,373.0
501,62,10,373.0
502,10,1,373.0
503,57,9,373.0
504,57,9,373.0
505,78,9,341.0
506,66,9,373.0
507,57,9,373.0
508,94,9,373.0
509,55,1,373.0
510,46,1,372.0
511,26,9,373.0
512,7,9,373.0
513,26,1,373.0
514,1,1,372.0
515,48,9,373.0
516,84,1,354.0
517,57,1,373.0
518,65,1,370.0
519,16,1,373.0
520,54,9,373.0
521,51,9,348.0
522,47,1,373.0
523,43,1,373.0
524,14,1,360.0
525,25,5,373.0
526,16,1,373.0
527,9,5,373.0
528,18,1,373.0
529,16,1,373.0
530,55,1,373.0
531,59,1,373.0
532,5,9,373.0
533,75,9,373.0
534,43,9,366.0
535,57,9,373.0
536,18,5,373.0
537,46,1,372.0
538,2,9,373.0
539,59,5,373.0
540,18,9,372.0
541,0,1,372.0
542,73,1,372.0
543,85,1,372.0
544,59,1,372.0
545,56,9,369.0
546,38,9,373.0
547,98,1,373.0
548,43,9,372.0
549,51,9,373.0
550,31,9,373.0
551,36,5,373.0
552,87,1,366.0
553,36,5,373.0
554,33,9,373.0
555,11,10,373.0
556,47,9,373.0
557,67,9,373.0
558,85,9,373.0
559,57,9,373.0
560,0,9,359.0
561,73,10,340.0
562,57,9,374.0
563,0,9,374.0
564,99,9,374.0
565,73,9,374.0
566,99,1,373.0
567,1,1,374.0
568,65,9,374.0
569,48,1,374.0
570,2,1,374.0
571,54,9,374.0
572,67,9,374.0
573,34,1,355.0
574,62,10,371.0
575,34,5,374.0
576,0,1,374.0
577,18,1,374.0
578,31,9,374.0
579,15,1,373.0
580,63,10,360.0
581,78,1,361.0
582,5,1,362.0
583,99,9,374.0
584,7,9,374.0
585,48,1,374.0
586,44,9,374.0
587,56,1,373.0
588,91,1,374.0
589,35,1,374.0
590,95,1,374.0
591,1,1,374.0
592,72,5,374.0
593,19,1,374.0
594,92,1,374.0
595,80,1,368.0
596,35,1,372.0
597,81,9,374.0
598,18,1,374.0
599,65,9,374.0
600,18,1,374.0
601,34,1,374.0
602,34,1,374.0
603,26,9,373.0
604,72,1,374.0
605,14,1,374.0
606,80,9,374.0
607,23,1,374.0
608,56,9,374.0
609,2,10,374.0
610,94,9,374.0
611,83,1,374.0
612,34,9,374.0
613,47,5,374.0
614,40,9,374.0
615,47,5,374.0
616,71,9,374.0
617,7,5,374.0
618,65,9,374.0
