,0
799,18
800,68
801,95
802,5
803,70
804,46
805,52
806,13
807,0
808,65
809,94
810,97
811,2
812,13
813,56
814,80
815,80
816,86
817,85
818,78
819,18
820,32
821,50
822,15
823,99
824,4
825,68
826,46
827,33
828,51
829,43
830,18
831,84
832,84
833,37
834,83
835,25
836,43
837,8
838,33
839,84
840,18
841,66
842,18
843,46
844,37
845,78
846,65
847,97
848,34
849,59
850,62
851,78
852,37
853,15
854,78
855,97
856,98
857,34
858,87
859,27
860,2
861,0
862,34
863,26
864,0
865,18
866,18
867,18
868,53
869,53
870,2
871,35
872,68
873,75
874,62
875,44
876,50
877,57
878,27
879,17
880,65
881,37
882,75
883,36
884,8
885,99
886,37
887,64
888,57
889,70
890,3
891,68
892,5
893,69
894,3
895,68
896,25
897,51
898,70
899,54
900,16
901,2
902,3
903,49
904,0
905,10
906,25
907,50
908,87
909,6
910,57
911,57
912,34
913,57
914,48
915,56
916,55
917,54
918,46
919,7
920,31
921,28
922,54
923,82
924,17
925,60
926,77
927,87
928,56
929,64
930,65
931,44
932,14
933,0
934,7
935,34
936,89
937,57
938,78
939,18
940,9
941,66
942,37
943,9
944,94
945,72
946,52
947,2
948,15
949,0
950,65
951,24
952,8
953,32
954,8
955,26
956,18
957,70
958,64
959,94
960,10
961,14
962,89
963,0
964,31
965,66
966,7
967,51
968,52
969,77
970,35
971,54
972,74
973,69
974,95
975,62
976,50
977,44
978,80
979,54
980,38
981,71
982,44
983,4
984,6
985,95
986,56
987,7
988,27
989,19
990,8
991,0
992,66
993,97
994,57
995,8
996,6
997,52
998,8
999,38
1000,9
1001,75
1002,75
1003,40
1004,43
1005,66
1006,4
1007,75
1008,96
1009,60
1010,47
1011,87
1012,5
1013,47
1014,47
1015,86
1016,3
1017,84
1018,4
1019,18
1020,57
1021,40
1022,18
1023,49
1024,99
1025,93
1026,12
1027,90
1028,18
1029,48
1030,36
1031,91
1032,9
1033,90
1034,77
1035,62
1036,60
1037,78
1038,42
1039,24
1040,75
1041,49
1042,28
1043,8
1044,80
1045,67
1046,91
1047,65
1048,59
1049,93
1050,68
1051,25
1052,25
1053,68
1054,6
1055,8
1056,75
1057,8
1058,17
1059,8
1060,95
1061,1
1062,4
1063,78
1064,83
1065,66
1066,60
1067,0
1068,91
1069,27
1070,52
1071,13
1072,25
1073,70
1074,56
1075,98
1076,13
1077,55
1078,27
1079,5
1080,69
1081,2
1082,68
1083,7
1084,25
1085,83
1086,50
1087,74
1088,57
1089,57
1090,35
1091,85
1092,39
1093,38
1094,35
1095,9
1096,1
1097,65
1098,51
1099,43
1100,96
1101,19
1102,39
1103,7
1104,81
1105,81
1106,57
1107,80
1108,60
1109,25
1110,43
1111,27
1112,57
1113,5
1114,13
1115,49
1116,50
1117,2
1118,17
1119,25
1120,23
1121,78
1122,5
1123,2
1124,84
1125,83
1126,23
1127,18
1128,6
1129,8
1130,26
1131,95
1132,33
1133,0
1134,15
1135,78
1136,83
1137,16
1138,98
1139,96
1140,77
1141,2
1142,98
1143,97
1144,7
1145,91
1146,54
1147,11
1148,3
1149,70
1150,19
1151,32
1152,67
1153,1
1154,13
1155,17
1156,81
1157,68
1158,10
1159,39
1160,2
1161,34
1162,17
1163,67
1164,72
1165,17
1166,77
1167,0
1168,36
1169,64
1170,15
1171,27
1172,98
1173,18
1174,25
1175,8
1176,33
1177,2
1178,40
1179,91
1180,18
1181,80
1182,33
1183,8
1184,77
1185,89
1186,25
1187,33
1188,28
1189,66
1190,89
1191,57
1192,37
1193,15
1194,1
1195,82
1196,26
1197,91
1198,54
1199,65
1200,31
1201,25
1202,57
1203,35
1204,66
1205,68
1206,22
1207,52
1208,7
1209,56
1210,15
1211,6
1212,5
1213,39
1214,40
1215,95
1216,77
1217,5
1218,38
1219,25
1220,37
1221,11
1222,16
1223,17
1224,18
1225,7
1226,16
1227,97
1228,14
1229,17
1230,68
1231,83
1232,57
1233,36
1234,0
1235,37
1236,54
1237,78
1238,95
1239,0
1240,36
1241,17
1242,18
1243,97
1244,26
1245,69
1246,73
1247,68
1248,43
1249,7
1250,44
1251,13
1252,96
1253,40
1254,30
1255,69
1256,17
1257,66
1258,57
1259,17
1260,50
1261,25
1262,17
1263,64
1264,27
1265,27
1266,96
1267,60
1268,81
1269,54
1270,70
1271,65
1272,0
1273,92
1274,65
1275,49
1276,73
1277,17
1278,85
1279,38
1280,9
1281,14
1282,75
1283,95
1284,39
1285,60
1286,0
1287,0
1288,5
1289,75
1290,56
1291,68
1292,80
1293,63
1294,2
1295,5
1296,24
1297,91
1298,14
1299,94
1300,0
1301,37
1302,31
1303,67
1304,72
1305,80
1306,66
1307,7
1308,18
1309,18
1310,52
1311,5
1312,13
1313,0
1314,24
1315,0
1316,4
1317,65
1318,9
1319,54
1320,25
1321,93
1322,19
1323,23
1324,69
1325,17
1326,84
1327,30
1328,57
1329,64
1330,0
1331,56
1332,0
1333,33
1334,36
1335,71
1336,74
1337,6
1338,66
1339,94
1340,60
1341,36
1342,92
1343,68
1344,25
1345,47
1346,83
1347,13
1348,18
1349,8
1350,4
1351,43
1352,56
1353,63
1354,40
1355,17
1356,46
1357,25
1358,27
1359,2
1360,9
1361,25
1362,53
1363,59
1364,48
1365,50
1366,34
1367,81
1368,87
1369,27
1370,66
1371,90
1372,22
1373,65
1374,14
1375,86
1376,57
1377,80
1378,50
1379,70
1380,43
1381,0
1382,0
1383,57
1384,51
1385,49
1386,57
1387,57
1388,55
1389,72
1390,17
1391,40
1392,4
1393,68
1394,13
1395,18
1396,87
1397,84
1398,77
1399,50
1400,56
1401,18
1402,69
1403,68
1404,70
1405,49
1406,1
1407,71
1408,72
1409,52
1410,19
1411,25
1412,94
1413,33
1414,52
1415,42
1416,69
1417,2
1418,35
1419,73
1420,0
1421,36
1422,21
1423,88
1424,40
1425,54
1426,14
1427,54
1428,43
1429,8
1430,59
1431,41
1432,3
1433,87
1434,27
1435,57
1436,65
1437,98
1438,8
1439,7
1440,96
1441,10
1442,43
1443,92
1444,71
1445,59
1446,63
1447,0
1448,66
1449,56
1450,85
1451,78
1452,98
1453,56
1454,67
1455,25
1456,14
1457,0
1458,55
1459,98
1460,66
1461,17
1462,5
1463,57
1464,96
1465,22
1466,57
1467,25
1468,83
1469,26
1470,5
1471,70
1472,98
1473,44
1474,6
1475,31
1476,36
1477,68
1478,10
1479,6
1480,7
1481,43
1482,52
1483,95
1484,22
1485,78
1486,78
1487,31
1488,14
1489,0
1490,16
1491,98
1492,16
1493,27
1494,27
1495,16
1496,0
1497,57
1498,27
1499,57
1500,7
1501,83
1502,10
1503,3
1504,72
1505,60
1506,34
1507,91
1508,30
1509,99
1510,34
1511,34
1512,25
1513,93
1514,96
1515,96
1516,47
1517,17
1518,68
1519,96
1520,65
1521,4
1522,34
1523,98
1524,46
1525,9
1526,67
1527,34
1528,17
1529,60
1530,37
1531,11
1532,26
1533,25
1534,39
1535,18
1536,82
1537,16
1538,46
1539,7
1540,25
1541,10
1542,41
1543,27
1544,10
1545,36
1546,84
1547,80
1548,19
1549,6
1550,44
1551,83
1552,97
